title,ratings,year,content,url
Forrest Gump,8.8,1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",https://www.imdb.com//title/tt0109830/mediaviewer/rm1954748672/?ref_=tt_ov_i
The Shawshank Redemption,9.3,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://www.imdb.com//title/tt0111161/mediaviewer/rm10105600/?ref_=tt_ov_i
Pulp Fiction,8.9,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com//title/tt0110912/mediaviewer/rm1959546112/?ref_=tt_ov_i
The Silence of the Lambs,8.6,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com//title/tt0102926/mediaviewer/rm926195969/?ref_=tt_ov_i
The Matrix,8.7,1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com//title/tt0133093/mediaviewer/rm525547776/?ref_=tt_ov_i
Star Wars,8.6,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",https://www.imdb.com//title/tt0076759/mediaviewer/rm2482838785/?ref_=tt_ov_i
Jurassic Park,8.2,1993,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,https://www.imdb.com//title/tt0107290/mediaviewer/rm3913805824/?ref_=tt_ov_i
Braveheart,8.4,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://www.imdb.com//title/tt0112573/mediaviewer/rm3170786816/?ref_=tt_ov_i
Terminator 2: Judgment Day,8.6,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",https://www.imdb.com//title/tt0103064/mediaviewer/rm1982141440/?ref_=tt_ov_i
Schindler's List,9.0,1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com//title/tt0108052/mediaviewer/rm1610023168/?ref_=tt_ov_i
Il conformista,7.9,1970,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",https://www.imdb.com//title/tt0065571/mediaviewer/rm2152535297/?ref_=tt_ov_i
Toy Story,8.3,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,https://www.imdb.com//title/tt0114709/mediaviewer/rm3813007616/?ref_=tt_ov_i
The Empire Strikes Back,8.7,1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",https://www.imdb.com//title/tt0080684/mediaviewer/rm3114097664/?ref_=tt_ov_i
The Usual Suspects,8.5,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",https://www.imdb.com//title/tt0114814/mediaviewer/rm1975465472/?ref_=tt_ov_i
American Beauty,8.4,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,https://www.imdb.com//title/tt0169547/mediaviewer/rm2430294272/?ref_=tt_ov_i
Se7en,8.6,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://www.imdb.com//title/tt0114369/mediaviewer/rm3116368640/?ref_=tt_ov_i
Independence Day,7.0,1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",https://www.imdb.com//title/tt0116629/mediaviewer/rm2203522816/?ref_=tt_ov_i
Apollo 13,7.7,1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,https://www.imdb.com//title/tt0112384/mediaviewer/rm635378177/?ref_=tt_ov_i
Raiders of the Lost Ark,8.4,1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",https://www.imdb.com//title/tt0082971/mediaviewer/rm2091520257/?ref_=tt_ov_i
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com//title/tt0120737/mediaviewer/rm3592958976/?ref_=tt_ov_i
Star Wars: Episode VI - Return of the Jedi,8.3,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",https://www.imdb.com//title/tt0086190/mediaviewer/rm602420224/?ref_=tt_ov_i
The Godfather,9.2,1972,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,https://www.imdb.com//title/tt0068646/mediaviewer/rm746868224/?ref_=tt_ov_i
Batman,7.5,1989,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",https://www.imdb.com//title/tt0096895/mediaviewer/rm377474817/?ref_=tt_ov_i
The Fugitive,7.8,1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",https://www.imdb.com//title/tt0106977/mediaviewer/rm3485478656/?ref_=tt_ov_i
Saving Private Ryan,8.6,1998,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",https://www.imdb.com//title/tt0120815/mediaviewer/rm1924732160/?ref_=tt_ov_i
The Lord of the Rings: The Two Towers,8.8,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com//title/tt0167261/mediaviewer/rm306845440/?ref_=tt_ov_i
The Lord of the Rings: The Return of the King,9.0,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com//title/tt0167260/mediaviewer/rm786100481/?ref_=tt_ov_i
Aladdin,8.0,1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://www.imdb.com//title/tt0103639/mediaviewer/rm4003269376/?ref_=tt_ov_i
Fargo,8.1,1996,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://www.imdb.com//title/tt0116282/mediaviewer/rm3153550848/?ref_=tt_ov_i
The Sixth Sense,8.2,1999,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",https://www.imdb.com//title/tt0167404/mediaviewer/rm2099059456/?ref_=tt_ov_i
True Lies,7.3,1994,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",https://www.imdb.com//title/tt0111503/mediaviewer/rm1692473088/?ref_=tt_ov_i
Twelve Monkeys,8.0,1995,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://www.imdb.com//title/tt0114746/mediaviewer/rm267521536/?ref_=tt_ov_i
The Lion King,8.5,1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://www.imdb.com//title/tt0110357/mediaviewer/rm3272938240/?ref_=tt_ov_i
Back to the Future,8.5,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",https://www.imdb.com//title/tt0088763/mediaviewer/rm554638848/?ref_=tt_ov_i
Speed,7.3,1994,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,https://www.imdb.com//title/tt0111257/mediaviewer/rm4192537344/?ref_=tt_ov_i
The Man with the Golden Arm,7.3,1955,A junkie must face his true self to kick his drug addiction.,https://www.imdb.com//title/tt0048347/mediaviewer/rm2112215297/?ref_=tt_ov_i
Shrek,7.9,2001,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",https://www.imdb.com//title/tt0126029/mediaviewer/rm955136512/?ref_=tt_ov_i
Men in Black,7.3,1997,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://www.imdb.com//title/tt0119654/mediaviewer/rm2364027904/?ref_=tt_ov_i
Dances with Wolves,8.0,1990,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",https://www.imdb.com//title/tt0099348/mediaviewer/rm404652032/?ref_=tt_ov_i
Mission: Impossible,7.1,1996,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",https://www.imdb.com//title/tt0117060/mediaviewer/rm3243234304/?ref_=tt_ov_i
